GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus,TwoplusOther,TwominusOther_Threeplus
06037181500,4106,1550,80,0,883,0,873,720,366,354
06037181600,4438,1655,181,262,940,31,623,746,351,395
06037183101,2741,1144,6,28,276,0,931,356,267,89
06037183103,4548,1737,288,231,405,0,1102,785,383,402
06037183104,1902,765,61,13,404,0,296,363,143,220
06037183220,3118,1106,11,288,531,0,941,241,77,164
06037183221,3514,1056,84,56,353,0,918,1047,682,365
06037183222,3616,1703,43,110,456,0,718,586,341,245
06037183300,3231,864,15,51,486,0,932,883,467,416
06037183401,2416,767,22,98,562,0,693,274,161,113
06037183402,2939,1016,72,22,701,7,450,671,223,448
06037183510,2346,910,0,28,221,0,685,502,426,76
06037183520,3850,886,53,88,180,0,1771,872,635,237
06037183610,3042,1123,20,119,281,0,929,570,358,212
06037183620,3038,1384,40,22,544,0,507,541,466,75
06037183701,3181,1266,50,144,215,7,1174,325,242,83
06037183702,3074,1061,58,19,588,0,809,539,376,163
06037183810,4259,1652,36,301,118,0,1503,649,379,270
06037183820,3352,895,146,246,415,0,1039,611,463,148
06037185101,2780,1288,31,13,464,0,653,331,212,119
06037185102,3542,2398,76,0,269,0,166,633,493,140
06037185202,4098,2115,12,72,297,0,1050,552,344,208
06037185203,2696,783,6,49,249,0,1068,541,318,223
06037185204,1778,727,86,36,449,0,291,189,156,33
06037185310,2897,1078,56,0,156,0,1388,219,204,15
06037185320,2735,798,15,33,173,0,1331,385,337,48
06037186100,4725,2132,50,106,1085,0,713,639,261,378
06037186201,3382,1081,35,0,1373,0,219,674,615,59
06037186202,1676,512,74,30,616,6,133,305,136,169
06037186203,2991,1669,29,111,289,0,664,229,88,141
06037186301,2619,903,155,63,239,0,736,523,317,206
06037186302,4850,2194,35,106,1019,0,1007,489,360,129
06037186401,2692,321,64,172,404,0,1120,611,334,277
06037186403,2608,531,29,194,409,0,1012,433,221,212
06037186404,2663,684,22,58,193,0,1115,591,372,219
06037187101,3029,1007,0,5,1050,0,639,328,187,141
06037187102,4637,1062,130,312,1523,0,585,1025,628,397
06037187200,2668,1269,25,16,380,9,723,246,94,152
