OBJECTID,ain,ASI_Status,situsaddress,situscity,situszip,LV_IV_Ratio,YearBuiltMax,usecode,usetype,usedescription,Vacant_Use,Publicly_Owned,unitstotal,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,SP_LUP1,SP_LUP_Desc1,PctSpLupArea1,SP_LUP2,SP_LUP_Desc2,PctSpLupArea2,SP_LUP3,SP_LUP_Desc3,PctSpLupArea3,Acres,LUP_Units_Total,LUP_MinDens,LUP_MaxDens,Site_Status,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Lot_Size_Consolidated,Lot_Consolidation_Notes,Consolidation_Adj_APNs,Previous_HE,Shape__Area,Shape__Length
861,3071002023,Vacant,171st St E & Valeport Ave, ,93535,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.67530659,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,29416.3544921875,788.354105381822
862,3117002021,Vacant, VAC/AVE E/VIC 45 STW,CALICHE CA,93536,0,0,580V,Irrigated Farm,Desert,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H5,100,,0,,0,,,0,,,0,,,0,9.63398416,,0,5 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,419656.349609375,3200.69242324045
863,3038017014,Vacant, VAC/COR 126 STE(PAV)/AVE V12(PAV,PEARBLOSSOM CA,93553,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,5.78502154,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,251995.5390625,2498.75131653101
864,3101013016,Vacant,50th St W & W Avenue M-2, ,93536,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.61543799,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,26808.4765625,869.431544697962
865,3041013016,Vacant, VAC/AVE R2(DRT)/VIC 108TH STE,SUN VILLAGE CA,93543,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,A-1-1,92.56,,0,,0,RL1,92.56,,0,,0,,,0,,,0,,,0,0.90950963,,0,1 du / 1 gross ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,39618.240234375,864.266098080794
866,3101005022,Vacant,Almond Ave & W Avenue M-8, ,93536,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,1.79298121,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,78102.2626953125,1275.36862865198
867,3101012016,Vacant,53rd St W & W Avenue M-6, ,93536,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.86166133,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,37533.9677734375,1269.83051768469
868,3103004020,Vacant, VAC/AVE L8/VIC 47TH STW,QUARTZ HILL CA,93536,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-1,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,1.12438501,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,48978.2119140625,926.58011634016
869,3117002057,Vacant, VAC/50 STW/VIC AVE D8,CALICHE CA,93536,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,9.25879543,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,403313.12890625,2542.02339215379
870,3038012009,Vacant, VAC/AVE V12(PAV)/VIC 126 STE,PEARBLOSSOM CA,93553,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.91789355,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,39983.443359375,867.281130564325
