OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1761,1,1761,536000,5360,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,1904577.156,5947.592661
1762,1,1762,536102,5361.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,4478077.27,10203.4604
1763,1,1763,536103,5361.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,1719363.691,6005.318224
1764,1,1764,536104,5361.04,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,2861637.387,9664.459615
1765,1,1765,536201,5362.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,2212423.102,7992.062561
1766,1,1766,536202,5362.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,1344120.586,7339.072259
1767,1,1767,540000,5400,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,10,Gateway Planning Area,2131934.176,6423.625401
1768,1,1768,540101,5401.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,10,Gateway Planning Area,1824056.125,6386.974324
1769,1,1769,540102,5401.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,10,Gateway Planning Area,1820898.098,5708.657356
1770,1,1770,540201,5402.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,10,Gateway Planning Area,379855.418,3832.696107
1771,1,1771,540202,5402.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,10,Gateway Planning Area,1102496.184,4612.309169
1772,1,1772,540203,5402.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,10,Gateway Planning Area,1312334.055,4824.277272
1773,2,1773,540300,5403,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,9,Gateway Planning Area,2231136.777,8068.373075
1775,2,1775,540501,5405.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,9,Gateway Planning Area,2115310.305,7006.015718
1776,2,1776,540502,5405.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,9,Gateway Planning Area,875075.1211,4112.21283
1793,2,1793,541700,5417,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,9,Gateway Planning Area,2041620.902,6484.027699
1794,2,1794,541801,5418.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,9,Gateway Planning Area,1040701.832,4506.618278
1795,2,1795,541802,5418.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LYNWOOD,,INCORPORATED CITY,9,Gateway Planning Area,1615882.793,5294.601723
1839,2,1839,544002,5440.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LONG BEACH,,INCORPORATED CITY,10,South Bay Planning Area,2322153.277,7779.771578
1840,1,1840,550101,5501.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1045710.617,4155.366902
1841,1,1841,550201,5502.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,770791.9141,4389.697628
1842,1,1842,550202,5502.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1834662.453,6138.128381
1843,1,1843,550301,5503.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,2410102.77,6432.46988
1844,1,1844,550501,5505.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1297873.719,6269.61658
1845,1,1845,550502,5505.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,2588552.27,7077.725427
1846,1,1846,550601,5506.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1708134.563,5367.267194
1847,1,1847,550602,5506.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,2152129.152,6128.300792
1848,1,1848,550700,5507,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,3247630.813,8120.260127
